House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group,Occupation Status,Disability Status,Religion Category
3,Barrett Walk,Thomas,Watson,18,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
3,Barrett Walk,Sylvia,Watson,17,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
4,Barrett Walk,Joanna,Booth,72,Head,Widowed,Female,"Retired Buyer, industrial",Healthy,Christian,Senior,Retired,Non-disabled,Religious
5,Barrett Walk,Brandon,Miles,51,Head,Single,Male,Financial risk analyst,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
5,Barrett Walk,Kimberley,Dennis,50,Partner,Single,Female,Chief of Staff,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
6,Barrett Walk,Joan,Robinson,30,Head,Single,Female,Soil scientist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
6,Barrett Walk,Lesley,Robinson,9,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
6,Barrett Walk,Debra,Robinson,6,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
6,Barrett Walk,Julie,Robinson,3,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
6,Barrett Walk,Charlotte,Robinson,0,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
7,Barrett Walk,Sharon,Evans,51,Head,Single,Female,Tree surgeon,Healthy,Christian,Adult,Employed,Non-disabled,Religious
7,Barrett Walk,Joel,Young,53,Partner,Single,Male,Consulting civil engineer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
7,Barrett Walk,Norman,Evans,16,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
8,Barrett Walk,Louis,Williams,39,Head,Married,Male,Unemployed,Healthy,Catholic,Adult,Unemployed,Non-disabled,Religious
8,Barrett Walk,Josephine,Williams,37,Wife,Married,Female,Clinical psychologist,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
9,Barrett Walk,Shane,Hall,35,Head,Single,Male,Comptroller,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
9,Barrett Walk,Charlotte,Hall,7,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
9,Barrett Walk,Benjamin,Hall,3,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
9,Barrett Walk,Victoria,Quinn,45,Lodger,Divorced,Female,Field seismologist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
10,Barrett Walk,Bradley,Parker,30,Head,Single,Male,Social worker,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
10,Barrett Walk,Janet,Smith,23,Partner,Single,Female,Dentist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
10,Barrett Walk,Mohammed,Jones,53,Lodger,Divorced,Male,Curator,Healthy,Christian,Adult,Employed,Non-disabled,Religious
11,Barrett Walk,Dennis,Jones,30,Head,Single,Male,Psychiatrist,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
12,Barrett Walk,Jennifer,Iqbal,51,Head,Married,Female,Unemployed,Healthy,Christian,Adult,Unemployed,Non-disabled,Religious
12,Barrett Walk,Colin,Iqbal,51,Husband,Married,Male,Advertising account planner,Healthy,Christian,Adult,Employed,Non-disabled,Religious
12,Barrett Walk,Dean,Iqbal,14,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
12,Barrett Walk,Dylan,Iqbal,11,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
13,Barrett Walk,Amy,Davis,63,Head,Divorced,Female,"Librarian, public",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
13,Barrett Walk,Darren,Davis,30,Son,Single,Male,Statistician,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
14,Barrett Walk,Brian,Foster,48,Head,Married,Male,Astronomer,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
14,Barrett Walk,Brenda,Foster,46,Wife,Married,Female,Textile designer,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
15,Barrett Walk,Katherine,Iqbal,65,Head,Married,Female,"Designer, fashion/clothing",Healthy,Methodist,Adult,Employed,Non-disabled,Religious
15,Barrett Walk,Mohammed,Iqbal,64,Husband,Married,Male,Unemployed,Healthy,Methodist,Adult,Unemployed,Non-disabled,Religious
16,Barrett Walk,Sam,Booth,30,Head,Widowed,Male,Building services engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
16,Barrett Walk,Declan,Booth,10,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
17,Barrett Walk,Jane,Holland,37,Head,Married,Female,Solicitor,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
17,Barrett Walk,Victor,Holland,40,Husband,Married,Male,Chief Operating Officer,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
17,Barrett Walk,Ellie,Holland,4,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
18,Barrett Walk,Olivia,Smith,57,Head,Married,Female,Bookseller,Healthy,Christian,Adult,Employed,Non-disabled,Religious
18,Barrett Walk,Iain,Smith,61,Husband,Married,Male,Medical illustrator,Healthy,Christian,Adult,Employed,Non-disabled,Religious
18,Barrett Walk,Charlie,Smith,29,Son,Single,Male,Lawyer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
18,Barrett Walk,Ashleigh,Smith,10,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
19,Barrett Walk,Ronald,Newman,46,Head,Divorced,Male,Best boy,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
19,Barrett Walk,Olivia,Newman,23,Daughter,Single,Female,Trade union research officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
19,Barrett Walk,Hollie,Newman,19,Daughter,Single,Female,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
20,Barrett Walk,Carole,Hill,78,Head,Widowed,Female,"Retired Psychotherapist, dance movement",Healthy,No Religion,Senior,Retired,Non-disabled,Non-religious
20,Barrett Walk,Simon,Hill,49,Son,Single,Male,Actor,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
20,Barrett Walk,Clare,Hill,46,Daughter,Single,Female,Site engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
20,Barrett Walk,Timothy,Hill,45,Son,Single,Male,"Psychotherapist, child",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
20,Barrett Walk,Derek,Hill,41,Son,Widowed,Male,Landscape architect,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
21,Barrett Walk,Elaine,Davis,42,Head,Married,Female,Trading standards officer,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
21,Barrett Walk,Dale,Davis,43,Husband,Married,Male,Telecommunications researcher,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
21,Barrett Walk,Shirley,Davis,15,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
21,Barrett Walk,Carole,Taylor,13,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
22,Barrett Walk,Pamela,Holloway,52,Head,Divorced,Female,Unemployed,Healthy,Christian,Adult,Unemployed,Non-disabled,Religious
22,Barrett Walk,Kevin,Holloway,16,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
22,Barrett Walk,Victor,Holloway,12,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
23,Barrett Walk,Victor,Pearson,71,Head,Married,Male,Retired Adult guidance worker,Healthy,No Religion,Senior,Retired,Non-disabled,Non-religious
23,Barrett Walk,Patricia,Pearson,69,Wife,Married,Female,Retired Paediatric nurse,Healthy,No Religion,Adult,Retired,Non-disabled,Non-religious
24,Barrett Walk,Jack,Norton,64,Head,Married,Male,Theatre stage manager,Healthy,Christian,Adult,Employed,Non-disabled,Religious
24,Barrett Walk,Victoria,Norton,66,Wife,Married,Female,Forensic scientist,Healthy,Christian,Adult,Employed,Non-disabled,Religious
25,Barrett Walk,Patricia,Brown,30,Head,Married,Female,Technical brewer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
25,Barrett Walk,Martyn,Brown,32,Husband,Married,Male,Writer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
25,Barrett Walk,Diana,Woodward,27,Lodger,Single,Female,"Teacher, early years/pre",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
26,Barrett Walk,David,Turner,73,Head,Divorced,Male,Retired Museum/gallery curator,Healthy,No Religion,Senior,Retired,Non-disabled,Non-religious
26,Barrett Walk,Eileen,Turner,37,Daughter,Single,Female,Retail merchandiser,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
27,Barrett Walk,Bryan,Kay,28,Head,Single,Male,Ship broker,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
28,Barrett Walk,Sally,O'Connor,74,Head,Widowed,Female,Retired Acupuncturist,Healthy,Methodist,Senior,Retired,Non-disabled,Religious
28,Barrett Walk,Allan,O'Connor,44,Son,Single,Male,Unemployed,Healthy,Methodist,Adult,Unemployed,Non-disabled,Religious
29,Barrett Walk,Maureen,Spencer,29,Head,Married,Female,Press photographer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
29,Barrett Walk,Ronald,Spencer,29,Husband,Married,Male,Public relations officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
29,Barrett Walk,Olivia,Lowe,29,Lodger,Divorced,Female,Cabin crew,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
29,Barrett Walk,Rita,Dale,54,Lodger,Single,Female,Exhibition designer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
29,Barrett Walk,Kieran,Allen,29,Lodger,Single,Male,Transport planner,Healthy,Christian,Adult,Employed,Non-disabled,Religious
30,Barrett Walk,Joan,Marshall,44,Head,Divorced,Female,Unemployed,Healthy,Muslim,Adult,Unemployed,Non-disabled,Religious
30,Barrett Walk,Richard,Marshall,9,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
30,Barrett Walk,Jodie,Marshall,5,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
30,Barrett Walk,Maureen,Tucker-Marshall,1,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
31,Barrett Walk,Kerry,Woods,33,Head,Divorced,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
31,Barrett Walk,Toby,Woods,8,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
31,Barrett Walk,Daniel,Woods,5,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
32,Barrett Walk,Joseph,Jones,71,Head,Widowed,Male,Retired Diagnostic radiographer,Healthy,No Religion,Senior,Retired,Non-disabled,Non-religious
33,Barrett Walk,Sian,Bryant,49,Head,Divorced,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
33,Barrett Walk,Nicholas,Bryant,18,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
34,Barrett Walk,Frances,Smith,52,Head,Married,Female,"Lecturer, higher education",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
34,Barrett Walk,Barry,Smith,58,Husband,Married,Male,"Nurse, adult",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
35,Barrett Walk,Claire,Parker,47,Head,Single,Female,"Development worker, international aid",Healthy,Methodist,Adult,Employed,Non-disabled,Religious
35,Barrett Walk,Nicholas,Parker,14,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
